,Year,Player,Club,Goals,Appearances
0,1992/93,Franck SauzÃ©e,Olympique de Marseille,5,7
1,1993/94,Hristo Stoichkov,FC Barcelona,5,6
2,1994/95,George Weah,Paris Saint-Germain,7,10
3,1995/96,Jari Litmanen,AFC Ajax,9,10
4,1996/97,Milinko PantiÄ‡,Club AtlÃ©tico de Madrid,5,8
5,1997/98,Alessandro Del Piero,Juventus,10,10
6,1998/99,Andriy Shevchenko,FC Dynamo Kyiv,8,10
7,1998/99,Dwight Yorke,Manchester United FC,8,11
8,1999/00,MÃ¡rio Jardel,FC Porto,10,13
9,1999/00,Rivaldo,FC Barcelona,10,14
10,1999/00,RaÃºl GonzÃ¡lez,Real Madrid CF,10,15
11,2000/01,RaÃºl GonzÃ¡lez,Real Madrid CF,7,12
12,2001/02,Ruud van Nistelrooy,Manchester United FC,10,14
13,2002/03,Ruud van Nistelrooy,Manchester United FC,12,9
14,2003/04,Fernando Morientes,AS Monaco FC,9,12
15,2004/05,Ruud van Nistelrooy,Manchester United FC,8,7
16,2005/06,Andriy Shevchenko,AC Milan,9,12
17,2006/07,KakÃ¡,AC Milan,10,13
18,2007/08,Cristiano Ronaldo,Manchester United FC,8,11
19,2008/09,Lionel Messi,FC Barcelona,9,12
20,2009/10,Lionel Messi,FC Barcelona,8,11
21,2010/11,Lionel Messi,FC Barcelona,12,13
22,2011/12,Lionel Messi,FC Barcelona,14,11
23,2012/13,Cristiano Ronaldo,Real Madrid CF,12,12
24,2013/14,Cristiano Ronaldo,Real Madrid CF,17,11
25,2014/15,Cristiano Ronaldo,Real Madrid CF,10,12
26,2014/15,Neymar,FC Barcelona,10,12
27,2014/15,Lionel Messi,FC Barcelona,10,13
28,2015/16,Cristiano Ronaldo,Real Madrid CF,16,12
29,2016/17,Cristiano Ronaldo,Real Madrid CF,12,13
30,2017/18,Cristiano Ronaldo,Real Madrid CF,15,13
31,2018/19,Lionel Messi,FC Barcelona,12,10
32,2019/20,Robert Lewandowski,FC Bayern MÃ¼nchen,15,10
33,2020/21,Erling Haaland,Borussia Dortmund,10,8
34,2021/22,Karim Benzema,Real Madrid CF,15,12
35,2022/23,Erling Haaland,Manchester City FC,12,11
