Year,Club
1956,Real Madrid FC
1957,Real Madrid FC
1958,Real Madrid FC
1959,Real Madrid FC
1960,Real Madrid FC
1966,Real Madrid FC
1998,Real Madrid FC
2000,Real Madrid FC
2002,Real Madrid FC
2014,Real Madrid FC
2016,Real Madrid FC
2017,Real Madrid FC
2018,Real Madrid FC
2022,Real Madrid FC
1963,AC Milan
1969,AC Milan
1989,AC Milan
1990,AC Milan
1994,AC Milan
2003,AC Milan
2007,AC Milan
1974,FC Bayern Munich
1975,FC Bayern Munich
1976,FC Bayern Munich
2001,FC Bayern Munich
2013,FC Bayern Munich
2020,FC Bayern Munich
1977,Liverpool
1978,Liverpool
1981,Liverpool
1984,Liverpool
2005,Liverpool
2019,Liverpool
1992,FC Barcelona
2006,FC Barcelona
2009,FC Barcelona
2011,FC Barcelona
2015,FC Barcelona
1971,Ajax
1972,Ajax
1973,Ajax
1995,Ajax
1964,Inter Milan
1965,Inter Milan
2010,Inter Milan
1968,Manchester United
1999,Manchester United
2008,Manchester United
1985,Juventus
1996,Juventus
1961,Benfica
1962,Benfica
2012,Chelsea
2021,Chelsea
1979,Nottingham Forest
1980,Nottingham Forest
1987,Porto
2004,Porto
1967,Scotland Celtic
1983,Hamburger SV
1986,Steaua București
1993,Marseille
2023,Manchester City
1970,Feyenoord
1982,Aston Villa
1988,PSV Eindhoven
1991,Red Star Belgrade
